Iteration,Load Factor,Servers,Customers,Mean Wait Time
27,0.75,1,1000,3.1100126294676382
27,0.75,1,2000,2.7646318742292335
27,0.75,1,3000,2.953871607372547
27,0.75,1,4000,2.928118287726685
27,0.75,1,5000,2.9603418553171688
27,0.75,1,6000,2.8484471396529587
27,0.75,1,7000,3.01746518459848
27,0.75,1,8000,2.863984263588469
27,0.75,1,9000,3.0042437461489526
27,0.75,1,10000,3.0844713833009374
27,0.75,1,20000,3.217928885175767
27,0.75,1,30000,3.141445232392341
27,0.75,1,40000,3.179770850077209
28,0.75,1,100,0.9460825801812232
28,0.75,1,200,1.2671824408369643
28,0.75,1,300,1.7478462688008982
28,0.75,1,400,2.538814730249016
28,0.75,1,500,2.3012234510586165
28,0.75,1,600,2.2378076088006416
28,0.75,1,700,2.143202219843801
28,0.75,1,800,2.178892493537107
28,0.75,1,900,2.2056194121636055
28,0.75,1,1000,2.266926428398127
28,0.75,1,2000,2.841758489688151
28,0.75,1,3000,3.0795026256178897
28,0.75,1,4000,3.2837623581326842
28,0.75,1,5000,3.3556431114533187
28,0.75,1,6000,3.2572660829523534
28,0.75,1,7000,3.313272645868967
28,0.75,1,8000,3.213683806023999
28,0.75,1,9000,3.1274282793171837
28,0.75,1,10000,3.1456924005033615
28,0.75,1,20000,3.0970280965809858
28,0.75,1,30000,3.0897799199159826
28,0.75,1,40000,3.054497175416198
29,0.75,1,100,0.9875792687624709
29,0.75,1,200,0.7458444053768801
29,0.75,1,300,0.817540175433345
29,0.75,1,400,0.9249945494257958
29,0.75,1,500,1.0691115382127332
29,0.75,1,600,1.238019267014815
29,0.75,1,700,1.858262700066359
29,0.75,1,800,1.7917099771918052
29,0.75,1,900,1.832793937329385
29,0.75,1,1000,1.7408650051510755
29,0.75,1,2000,2.0818251032666804
29,0.75,1,3000,2.987348078673975
29,0.75,1,4000,2.8423514731271458
29,0.75,1,5000,2.6861520671950823
29,0.75,1,6000,2.7977805071551485
29,0.75,1,7000,2.6680544366273216
29,0.75,1,8000,2.80508762166242
29,0.75,1,9000,2.8467151450642367
29,0.75,1,10000,2.901288360019435
29,0.75,1,20000,2.7062355580555333
29,0.75,1,30000,2.761954468503384
29,0.75,1,40000,2.7973763347124643
30,0.75,1,100,1.6006225314089773
30,0.75,1,200,2.174981486697432
30,0.75,1,300,3.2640893676505214
30,0.75,1,400,3.1478876900787807
30,0.75,1,500,2.9727088302259244
30,0.75,1,600,2.6688393175834704
30,0.75,1,700,2.424891214596828
30,0.75,1,800,2.482069838108082
30,0.75,1,900,2.338533401473539
30,0.75,1,1000,2.264270665776035
30,0.75,1,2000,2.351541953797013
30,0.75,1,3000,2.2941979419852387
30,0.75,1,4000,2.5850396697539146
30,0.75,1,5000,2.7412907771931283
30,0.75,1,6000,2.62071331171435
30,0.75,1,7000,2.7359931647759255
30,0.75,1,8000,2.9409813986121245
30,0.75,1,9000,2.8595288144582436
30,0.75,1,10000,2.8149081528172792
30,0.75,1,20000,3.1092814070396626
30,0.75,1,30000,2.9750269161624736
30,0.75,1,40000,3.083404612778886
31,0.75,1,100,1.765080853576464
31,0.75,1,200,2.1383932919915667
31,0.75,1,300,3.6033068145613956
31,0.75,1,400,3.3781545807776046
31,0.75,1,500,3.5262677047251882
31,0.75,1,600,3.1594161242499648
31,0.75,1,700,3.047422208816941
31,0.75,1,800,2.7742689571595043
31,0.75,1,900,2.6476472196345386
31,0.75,1,1000,2.511549083860193
31,0.75,1,2000,3.276638111070758
31,0.75,1,3000,4.755421354561516
31,0.75,1,4000,4.302690367461055
31,0.75,1,5000,3.984810036773784
31,0.75,1,6000,3.752974599204521
31,0.75,1,7000,3.648500659006251
31,0.75,1,8000,3.7315760031540437
31,0.75,1,9000,3.701531942930085
31,0.75,1,10000,3.720372212004509
31,0.75,1,20000,3.408627606882702
31,0.75,1,30000,3.184595968494527
31,0.75,1,40000,3.1937895466114608
32,0.75,1,100,2.287334527946574
32,0.75,1,200,3.2208792518740275
32,0.75,1,300,2.490159792040091
32,0.75,1,400,2.4310588982655106
32,0.75,1,500,2.2156474075429573
32,0.75,1,600,2.323288248838037
32,0.75,1,700,2.54694328688762
32,0.75,1,800,2.8406450808123043
32,0.75,1,900,2.7921454771152305
32,0.75,1,1000,2.746207772074676
32,0.75,1,2000,2.9250015849123217
32,0.75,1,3000,2.8923521909003127
32,0.75,1,4000,3.2059692675509077
32,0.75,1,5000,3.234416029107872
32,0.75,1,6000,3.014189622992978
32,0.75,1,7000,2.8776627923287266
32,0.75,1,8000,2.7968722224979556
32,0.75,1,9000,2.837040647611647
32,0.75,1,10000,2.8268711667674444
